file_id,number_of_pages,pdf_location,txt_location,txt_content
104-10003-10041,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10003-10041.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10003-10041.txt,
104-10004-10143 (C06932208),3,/Users/furkandemir/Desktop/Thesis/pdf_files/3/104-10004-10143 (C06932208).pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10004-10143 (C06932208).txt,
104-10004-10143,2,/Users/furkandemir/Desktop/Thesis/pdf_files/2/104-10004-10143.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10004-10143.txt,
104-10004-10156,3,/Users/furkandemir/Desktop/Thesis/pdf_files/3/104-10004-10156.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10004-10156.txt,
104-10004-10213,37,/Users/furkandemir/Desktop/Thesis/pdf_files/31-40/104-10004-10213.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10004-10213.txt,
104-10005-10321,3,/Users/furkandemir/Desktop/Thesis/pdf_files/3/104-10005-10321.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10005-10321.txt,
104-10006-10247,3,/Users/furkandemir/Desktop/Thesis/pdf_files/3/104-10006-10247.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10006-10247.txt,
104-10007-10345,6,/Users/furkandemir/Desktop/Thesis/pdf_files/6-10/104-10007-10345.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10007-10345.txt,
104-10009-10021,2,/Users/furkandemir/Desktop/Thesis/pdf_files/2/104-10009-10021.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10009-10021.txt,
104-10009-10222,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10009-10222.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10009-10222.txt,
104-10012-10022,2,/Users/furkandemir/Desktop/Thesis/pdf_files/2/104-10012-10022.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10012-10022.txt,
104-10012-10024,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10012-10024.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10012-10024.txt,
104-10012-10035,8,/Users/furkandemir/Desktop/Thesis/pdf_files/6-10/104-10012-10035.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10012-10035.txt,
104-10012-10076,3,/Users/furkandemir/Desktop/Thesis/pdf_files/3/104-10012-10076.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10012-10076.txt,
104-10012-10078,3,/Users/furkandemir/Desktop/Thesis/pdf_files/3/104-10012-10078.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10012-10078.txt,
104-10012-10079,1,/Users/furkandemir/Desktop/Thesis/pdf_files/1/104-10012-10079.pdf,/Users/furkandemir/Desktop/Thesis/ocr_output/104-10012-10079.txt,
